Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,107,26096,16400391
Utah,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,120.6,16297,15756196
Hawaii,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,125.7,12281,7100371
Colorado,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,130,39806,28424625
Arizona,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,132.3,61176,35870327
New Mexico,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,135.1,18115,10485106
California,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,135.1,298279,196730122
Connecticut,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,136.3,32910,17852743
New York,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,137.1,171409,97574245
Wyoming,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,138,4952,2906735
New Jersey,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,141,79925,44427090
Florida,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,141.4,226059,106084620
North Dakota,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,142,6477,3801964
Massachusetts,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,143.3,63244,34365017
Minnesota,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,144,49649,28000800
Texas,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,144.5,205358,143177205
Montana,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,144.6,10451,5308517
Washington,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,145.7,63805,37562341
Idaho,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,145.9,14885,8771828
Alaska,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,146.8,4942,3684943
Maryland,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,148.9,54175,30188109
District of Columbia,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,149.5,5154,3509871
Virginia,All Types of Cancer,2016-2020,Male and Female,All Races and Ethnicities,Mortality,149.7,75782,42546787
