Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
West Virginia,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,63,51,84684
Delaware,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,67.8,122,207115
Connecticut,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,68.8,449,890580
New Jersey,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,73.2,3074,4489068
Michigan,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,74.3,957,1761577
New Hampshire,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,75.2,105,213039
Alabama,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,75.7,231,396617
Indiana,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,75.9,364,878674
New Mexico,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,76.5,142,185800
South Carolina,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,78.1,303,489684
Illinois,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,81.8,2927,3818632
Maine,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,82.2,62,93321
Vermont,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,83.5,34,63438
Ohio,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,83.7,877,1538220
Florida,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,83.9,2911,3331419
Kentucky,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,84.4,200,389582
North Carolina,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,84.8,949,1708098
Maryland,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,84.8,1774,2123569
Texas,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,85.3,5119,7613717
Virginia,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,86.5,2251,3114203
Pennsylvania,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,87.1,1634,2425239
Rhode Island,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,87.5,119,199227
Georgia,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,87.7,1560,2373511
Colorado,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,88.1,734,1077280
Tennessee,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,88.5,443,692737
Missouri,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,89.3,460,735524
New York,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,89.6,8037,8920825
Massachusetts,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,90.7,1707,2513867
Kansas,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,92.2,291,492537
Arizona,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,92.5,1112,1394303
North Dakota,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,92.8,23,69608
Arkansas,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,92.8,178,314724
Nebraska,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,92.8,142,270794
Wyoming,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,94.5,21,34366
Mississippi,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,97.1,145,174866
District of Columbia,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,98,93,163562
Louisiana,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,99.4,383,451867
Washington,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,100.1,3422,3986884
California,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,100.8,36523,31284138
Montana,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,100.9,41,57684
Alaska,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,102,248,313095
Wisconsin,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,103.3,493,920370
Nevada,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,104.2,1799,1461956
Utah,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,106.7,413,610341
Oklahoma,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,110.5,393,526646
Oregon,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,110.6,1051,1168037
Iowa,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,112.3,250,449834
Idaho,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,112.7,131,163208
Minnesota,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,114.8,937,1511986
Hawaii,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,118.5,7951,4623143
South Dakota,All Types of Cancer,2016-2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,138.8,43,75245
