Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Montana,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Dakota,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,87.8,34,115202
Wyoming,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,99.3,26,41650
Idaho,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,104.7,39,90199
New Hampshire,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,112.7,69,116723
Rhode Island,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,125.7,362,359668
Hawaii,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,132.1,120,187066
Alaska,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,138.5,122,160804
Massachusetts,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,138.6,3149,2668469
Maine,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,138.8,76,126509
North Dakota,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,142.7,46,134006
New York,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,147.1,23622,14699655
New Mexico,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,147.4,311,233806
Vermont,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,150.2,38,50674
Connecticut,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,151.6,2710,1940995
Colorado,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,154.4,1475,1322570
Florida,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,154.8,24336,17044831
Utah,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,155.7,140,228879
Arizona,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,156.2,2074,1782544
Washington,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,156.6,1832,1825941
Minnesota,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,166.5,1637,2048631
Georgia,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,166.6,24318,16956351
Oregon,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,167.4,581,522303
Nevada,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,168.1,2157,1531402
Maryland,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,168.5,15941,9303713
New Jersey,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,168.7,10309,5973061
Delaware,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,172.8,1855,1108386
Virginia,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,174.4,14815,8495692
California,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,175.7,22023,12211488
North Carolina,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,176.2,20372,11484145
Texas,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,178.1,25936,17775433
South Carolina,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,179,12999,6949102
Alabama,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,180.3,11943,6614070
Kansas,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,183.8,1407,966557
Kentucky,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,183.8,3117,1963396
Michigan,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,184,13232,7279443
Indiana,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,184.3,5159,3446669
Ohio,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,185.5,13846,7892653
Tennessee,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,190.2,9890,5866148
Missouri,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,192,6598,3771198
West Virginia,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,192.7,665,363358
Pennsylvania,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,193,13535,7344269
Arkansas,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,193.9,4246,2408698
Louisiana,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,194.4,14203,7667610
Oklahoma,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,194.5,2617,1671018
District of Columbia,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,194.5,3771,1621604
Illinois,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,196,18588,9322844
Nebraska,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,196.3,661,532434
Iowa,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,201.5,661,700901
Mississippi,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,201.8,10747,5659245
Wisconsin,All Types of Cancer,2016-2020,Male and Female,Black Non-Hispanic,Mortality,219.5,2990,2028451
