Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
District of Columbia,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,97,1124,1325483
Utah,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,122.1,14655,12524028
Colorado,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,130.4,32760,19655964
Arizona,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,135.4,48210,19919760
Wyoming,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,138.8,4601,2469847
New Mexico,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,138.9,10348,3963542
North Dakota,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,139.6,6069,3238860
Connecticut,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,139.9,27946,12036455
Alaska,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,142,3531,2343559
Hawaii,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,143.2,3510,1541501
Montana,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,143.6,9790,4644896
Minnesota,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,143.8,45961,22563707
New York,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,144.4,122303,54992513
Massachusetts,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,146.6,55259,24963895
California,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,148.2,179986,75290554
Idaho,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,149.2,14108,7294521
Florida,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,150.2,168887,58061917
Maryland,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,150.4,35109,15573729
New Jersey,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,150.7,60311,24801828
South Dakota,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,150.9,7874,3636795
Wisconsin,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,151.2,52636,23760703
Washington,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,151.3,55687,26329753
Virginia,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,151.9,56860,26748705
Nebraska,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,152.8,16256,7652793
North Carolina,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,153.2,74532,33167649
New Hampshire,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,153.2,13686,6163626
Oregon,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,154.1,37423,16146030
Texas,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,154.9,131644,60793629
Georgia,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,155.1,59488,28038416
Iowa,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,155.4,30653,13572205
South Carolina,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,156.3,38396,16432136
Kansas,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,156.5,24744,11203669
Pennsylvania,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,156.8,122196,49230751
Vermont,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,157.9,6845,2931603
Illinois,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,158.6,92245,39352877
Rhode Island,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,159.1,9899,3863798
Michigan,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,159.8,87995,37869888
Delaware,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,161.1,8296,3048825
Missouri,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,163.1,56718,24633378
Louisiana,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,163.5,31285,13827225
Maine,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,165.5,16445,6317083
Nevada,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,166.4,20097,7630703
Alabama,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,166.9,39566,16231845
Ohio,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,167,110420,46493829
Indiana,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,169.3,60899,26688546
Tennessee,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,170.9,60627,25312620
Arkansas,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,171.1,27710,11054901
Mississippi,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,175.2,21628,8513079
Oklahoma,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,176.6,34392,13478283
West Virginia,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,179.3,22536,8418566
Kentucky,All Types of Cancer,2016-2020,Male and Female,White Non-Hispanic,Mortality,185.7,47178,19059668
